,game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,result,total,total_line,temp,stadium
2646,2009_01_TEN_PIT,2009,REG,1,2009-09-10,Thursday,20:30,TEN,10.0,PIT,13.0,3.0,23.0,35.5,67.0,Heinz Field
2647,2009_01_MIA_ATL,2009,REG,1,2009-09-13,Sunday,13:00,MIA,7.0,ATL,19.0,12.0,26.0,44.0,,Georgia Dome
2648,2009_01_KC_BAL,2009,REG,1,2009-09-13,Sunday,13:00,KC,24.0,BAL,38.0,14.0,62.0,36.5,76.0,M&T Bank Stadium
2649,2009_01_PHI_CAR,2009,REG,1,2009-09-13,Sunday,13:00,PHI,38.0,CAR,10.0,-28.0,48.0,43.5,82.0,Bank of America Stadium
2650,2009_01_DEN_CIN,2009,REG,1,2009-09-13,Sunday,13:00,DEN,12.0,CIN,7.0,-5.0,19.0,41.0,73.0,Paul Brown Stadium
2651,2009_01_MIN_CLE,2009,REG,1,2009-09-13,Sunday,13:00,MIN,34.0,CLE,20.0,-14.0,54.0,39.5,70.0,Cleveland Browns Stadium
2652,2009_01_NYJ_HOU,2009,REG,1,2009-09-13,Sunday,13:00,NYJ,24.0,HOU,7.0,-17.0,31.0,44.5,,Reliant Stadium
2653,2009_01_JAX_IND,2009,REG,1,2009-09-13,Sunday,13:00,JAX,12.0,IND,14.0,2.0,26.0,45.0,,Lucas Oil Stadium
2654,2009_01_DET_NO,2009,REG,1,2009-09-13,Sunday,13:00,DET,27.0,NO,45.0,18.0,72.0,50.0,,Louisiana Superdome
2655,2009_01_DAL_TB,2009,REG,1,2009-09-13,Sunday,13:00,DAL,34.0,TB,21.0,-13.0,55.0,40.0,85.0,Raymond James Stadium
2656,2009_01_SF_ARI,2009,REG,1,2009-09-13,Sunday,16:15,SF,20.0,ARI,16.0,-4.0,36.0,45.5,,University of Phoenix Stadium
2657,2009_01_WAS_NYG,2009,REG,1,2009-09-13,Sunday,16:15,WAS,17.0,NYG,23.0,6.0,40.0,37.0,80.0,Giants Stadium
2658,2009_01_STL_SEA,2009,REG,1,2009-09-13,Sunday,16:15,STL,0.0,SEA,28.0,28.0,28.0,41.0,73.0,Qwest Field
2659,2009_01_CHI_GB,2009,REG,1,2009-09-13,Sunday,20:20,CHI,15.0,GB,21.0,6.0,36.0,47.0,76.0,Lambeau Field
2660,2009_01_BUF_NE,2009,REG,1,2009-09-14,Monday,19:00,BUF,24.0,NE,25.0,1.0,49.0,47.5,70.0,Gillette Stadium
2661,2009_01_SD_OAK,2009,REG,1,2009-09-14,Monday,22:15,SD,24.0,OAK,20.0,-4.0,44.0,43.0,63.0,Oakland-Alameda County Coliseum
2662,2009_02_CAR_ATL,2009,REG,2,2009-09-20,Sunday,13:00,CAR,20.0,ATL,28.0,8.0,48.0,43.5,,Georgia Dome
2663,2009_02_MIN_DET,2009,REG,2,2009-09-20,Sunday,13:00,MIN,27.0,DET,13.0,-14.0,40.0,45.0,,Ford Field
2664,2009_02_CIN_GB,2009,REG,2,2009-09-20,Sunday,13:00,CIN,31.0,GB,24.0,-7.0,55.0,42.0,68.0,Lambeau Field
2665,2009_02_ARI_JAX,2009,REG,2,2009-09-20,Sunday,13:00,ARI,31.0,JAX,17.0,-14.0,48.0,42.5,83.0,Jacksonville Municipal Stadium
2666,2009_02_OAK_KC,2009,REG,2,2009-09-20,Sunday,13:00,OAK,13.0,KC,10.0,-3.0,23.0,40.0,72.0,Arrowhead Stadium
2667,2009_02_NE_NYJ,2009,REG,2,2009-09-20,Sunday,13:00,NE,9.0,NYJ,16.0,7.0,25.0,45.0,69.0,Giants Stadium
