,player_name,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,passing_air_yards,carries,rushing_yards,rushing_tds,rushing_fumbles,receptions,targets,receiving_yards,receiving_tds,receiving_yards_after_catch,fantasy_points
0,T.Brady,2016,REG,291,432,3554.0,28,2.0,15.0,3353.0,28,64.0,0,1.0,0,0,0.0,0,0.0,258.56
1,T.Brady,2017,REG,385,581,4577.0,32,8.0,35.0,5308.0,25,28.0,0,1.0,0,0,0.0,0,0.0,295.88
2,S.Smith,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,67,96,765.0,5,261.0,110.5
3,S.Smith,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,67,96,765.0,5,261.0,110.5
4,S.Smith Sr.,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,3,5,34.0,0,20.0,3.4000000000000004
5,S.Smith Sr.,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,3,5,34.0,0,20.0,3.4000000000000004
6,D.Brees,2016,REG,471,673,5208.0,37,15.0,27.0,4795.0,23,20.0,2,0.0,0,0,0.0,0,0.0,332.32
7,D.Brees,2017,REG,386,536,4334.0,23,8.0,20.0,3417.0,33,12.0,2,2.0,0,0,0.0,0,0.0,262.56
8,S.Hill,2016,REG,19,35,242.0,0,0.0,1.0,348.0,5,5.0,0,0.0,0,0,0.0,0,0.0,10.18
9,J.McCown,2016,REG,90,165,1100.0,6,6.0,18.0,1649.0,7,21.0,0,2.0,0,0,0.0,0,0.0,52.1
10,J.McCown,2017,REG,267,397,2926.0,18,9.0,39.0,3036.0,37,124.0,5,4.0,0,0,0.0,0,0.0,205.44
11,C.Palmer,2016,REG,364,597,4233.0,26,14.0,40.0,5635.0,14,38.0,0,5.0,0,0,0.0,0,0.0,243.12
12,C.Palmer,2017,REG,164,267,1978.0,9,7.0,22.0,2499.0,14,12.0,0,2.0,0,0,0.0,0,0.0,102.32000000000001
13,A.Gates,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,53,93,548.0,7,188.0,94.8
14,A.Gates,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,30,52,316.0,3,66.0,49.6
15,T.Romo,2016,REG,3,4,29.0,1,0.0,0.0,60.0,0,0.0,0,0.0,0,0,0.0,0,0.0,5.16
16,A.Johnson,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,9,23,85.0,2,15.0,20.5
17,A.Boldin,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,67,95,584.0,8,231.0,106.4
18,J.Witten,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,69,95,673.0,3,273.0,83.3
19,J.Witten,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,63,87,560.0,5,105.0,84.0
20,D.Jones,2016,REG,0,0,0.0,0,0.0,0.0,0.0,1,0.0,0,1.0,0,0,0.0,0,0.0,0.0
21,M.Schaub,2016,REG,1,3,16.0,0,0.0,0.0,18.0,2,-2.0,0,0.0,0,0,0.0,0,0.0,0.44
22,E.Manning,2016,REG,377,598,4027.0,26,16.0,21.0,4702.0,21,-9.0,0,0.0,0,0,0.0,0,0.0,224.18
23,E.Manning,2017,REG,352,571,3468.0,19,13.0,31.0,4171.0,12,26.0,1,1.0,0,0,0.0,0,0.0,187.32
24,L.Fitzgerald,2016,REG,0,1,0.0,0,0.0,0.0,22.0,2,5.0,0,0.0,107,150,1023.0,6,358.0,136.8
25,L.Fitzgerald,2017,REG,1,1,21.0,0,0.0,0.0,18.0,0,0.0,0,0.0,109,161,1156.0,6,408.0,152.44
26,B.Roethlisberger,2016,REG,328,509,3819.0,29,13.0,17.0,4412.0,16,14.0,1,2.0,0,0,0.0,0,0.0,252.16
27,B.Roethlisberger,2017,REG,360,561,4251.0,28,14.0,21.0,5001.0,28,47.0,0,2.0,0,0,0.0,0,0.0,260.74
28,P.Rivers,2016,REG,349,578,4386.0,33,21.0,36.0,4856.0,14,35.0,0,2.0,0,0,0.0,0,0.0,258.94
29,P.Rivers,2017,REG,360,575,4515.0,28,10.0,18.0,4745.0,18,-2.0,0,3.0,0,0,0.0,0,0.0,270.4
30,B.Watson,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,61,79,522.0,4,263.0,76.2
31,J.Kuhn,2016,REG,0,0,0.0,0,0.0,0.0,0.0,18,37.0,4,0.0,16,20,70.0,1,50.0,40.7
32,J.Kuhn,2017,REG,0,0,0.0,0,0.0,0.0,0.0,1,2.0,0,0.0,0,0,0.0,0,0.0,0.2
33,A.Smith,2016,REG,328,489,3502.0,15,8.0,28.0,3296.0,48,134.0,5,2.0,1,1,3.0,0,3.0,223.78
34,A.Smith,2017,REG,341,505,4042.0,26,5.0,35.0,3881.0,60,355.0,1,2.0,0,0,0.0,0,0.0,295.18
35,A.Rodgers,2016,REG,401,610,4428.0,40,7.0,35.0,5287.0,67,369.0,4,3.0,0,0,0.0,0,0.0,380.02
36,A.Rodgers,2017,REG,154,238,1675.0,16,6.0,22.0,1643.0,24,126.0,0,0.0,0,0,0.0,0,0.0,129.6
37,V.Jackson,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,15,32,173.0,0,16.0,17.3
38,F.Gore,2016,REG,0,0,0.0,0,0.0,0.0,0.0,263,1025.0,4,2.0,38,47,277.0,4,286.0,176.20000000000002
39,F.Gore,2017,REG,0,0,0.0,0,0.0,0.0,0.0,261,961.0,3,3.0,29,38,245.0,1,275.0,144.6
40,D.Sproles,2016,REG,0,0,0.0,0,0.0,0.0,0.0,94,438.0,2,0.0,52,71,427.0,2,407.0,110.5
