,season,team,line,over_odds,under_odds
512,2019,ARI,5.0,-120,100
513,2019,ATL,8.5,-140,120
514,2019,BAL,8.5,110,-130
515,2019,BUF,7.0,-140,120
516,2019,CAR,8.0,-130,110
517,2019,CHI,9.0,-140,120
518,2019,CIN,6.0,130,-150
519,2019,CLE,9.0,100,-120
520,2019,DAL,9.0,-110,-110
521,2019,DEN,7.0,-130,110
522,2019,DET,6.5,-150,130
523,2019,GB,9.0,-140,120
524,2019,HOU,8.5,-115,-105
525,2019,IND,7.5,-110,-110
526,2019,JAX,8.0,-110,-110
527,2019,KC,10.5,-130,110
528,2019,LAC,10.0,120,-140
529,2019,LA,10.5,125,-145
530,2019,MIA,4.5,100,-120
531,2019,MIN,9.0,-125,105
532,2019,NE,11.5,-110,-110
533,2019,NO,10.5,130,-150
534,2019,NYG,6.0,105,-125
535,2019,NYJ,7.5,-110,-110
536,2019,OAK,6.0,145,-170
537,2019,PHI,10.0,-150,130
538,2019,PIT,9.5,-110,-110
539,2019,SF,8.0,-140,120
540,2019,SEA,9.0,100,-120
541,2019,TB,6.5,-110,-110
542,2019,TEN,8.0,120,-140
543,2019,WAS,6.0,130,-150
544,2020,ARI,7.5,-120,-110
545,2020,ATL,7.5,-130,100
546,2020,BAL,11.5,-115,-115
547,2020,BUF,9.0,-140,110
548,2020,CAR,5.5,-110,-120
549,2020,CHI,8.5,130,-160
550,2020,CIN,5.5,-120,-110
551,2020,CLE,8.5,-135,105
552,2020,DAL,9.5,-115,125
553,2020,DEN,7.5,-135,105
554,2020,DET,6.5,-130,100
555,2020,GB,9.0,-125,0
556,2020,HOU,7.5,-110,-120
557,2020,IND,9.0,-125,-105
558,2020,JAX,4.5,-120,-110
559,2020,KC,11.5,-145,115
560,2020,LA,8.5,-105,-125
561,2020,LAC,7.5,-130,100
562,2020,LV,7.5,-105,-125
563,2020,MIA,6.5,-110,-120
564,2020,MIN,9.0,-105,-125
565,2020,NE,9.0,100,-130
566,2020,NO,10.5,-115,-115
567,2020,NYG,6.5,100,-130
568,2020,NYJ,7.0,-140,110
569,2020,PHI,9.5,-125,-105
570,2020,PIT,9.5,110,-140
571,2020,SEA,9.0,-140,110
572,2020,SF,10.5,-125,-105
573,2020,TB,9.5,-140,110
574,2020,TEN,8.5,-125,-105
575,2020,WAS,5.5,100,-130
